Index,German,English
0,ab und zu,now and again; from time to time
1,abbestellen,to cancel (e.g. an order)
2,"abbiegen, bog ab, abgebogen",to bend/turn off [direction] (intransitive); to get out of something (transitive)
3,abends,in the evening
4,aber,but
5,"abfahren, fuhr ab, abgefahren",to depart
6,abhaken,to check off
7,abhängig,dependent
8,abholen,"to collect, to pick up"
9,ablehnen,to refuse
10,"abnehmen, nahm ab, abgenommen","to drop, to decline, to lose weight"
11,"abschließen, schloss ab, abgeschlossen",1. to lock up. 2. to conclude
12,absolut,absolute
13,abspülen,to wash up (1) or rinse
14,abtrocknen,to dry up
15,"abwaschen, wusch ab, abgewaschen",to wash up (2) or wash down
16,abwischen,to wipe off or away
17,adac,allgemeiner deutscher automobilclub - abbr.
18,ähnlich,similar
19,aktivieren,to activate
20,akzeptieren,to accept
21,alarmieren,"to alarm, to alert"
22,albern,"silly, foolish"
23,alle,"all, everybody"
24,allein,alone
25,alles,everything
26,als,"than, as, when"
27,als kind,as a child
28,also,"so, well then"
29,alt,old
30,altmodisch,old-fashioned
31,am apparat!,speaking! (on the telephone)
32,am schwarzen brett,on the bulletin board
33,am wievielten?,on what date?
34,amerikanisch,american (adj.)
35,an,on a vertical surface
36,an bord,on board
37,analog,analog
38,anbauen,"1. to grow or cultivate (crops); 2. to extend, build an extension"
39,"anbieten, bot an, angeboten",to offer
40,"anderer, andere, anderes","other, different (m,f,n)"
41,ändern,to change (1)
42,anders,different (1)
43,anderswo,somewhere else
44,anderthalb,one and a half (1)
45,anfang juli,beginning of july
46,"anfangen, fing an, angefangen","to begin, to start (2)"
47,anfunkeln,to glare at
48,angeln,to fish (1)
49,angenehm,"pleasant, enjoyable"
50,angst haben,to be afraid
51,angst kriegen,to get scared
52,ängstlich,anxious
53,"anhalten, hielt an, angehalten",to stop vehicles
54,anhand,"on the basis of, with the help of (+genitive)"
55,anhören,to listen to sb/sth
56,"ankommen, kam an, angekommen",to arrive
57,anmachen,"to put on, to turn on"
58,"annehmen, nahm an, angenommen","to receive, accept, or believe"
59,anordnen,to put in order; to arrange sth
60,anprobieren,to try on
61,"anrufen, rief an, angerufen",to call (phone)
62,anschalten,"to switch on, to turn on"
63,anschauen,to look at (1)
64,anschnallen,to fasten a seat belt
65,"ansehen, sah an, angesehen",to look at (2)
66,"anspringen, sprang an, angesprungen",to start a car
67,anstatt,instead of
68,anstrengend,"strenuous, exerting, stressful"
69,antworten,to answer
70,"anziehen, zog an, angezogen",1. to dress. 2. to attract
71,anzünden,"to light a candle, cigarette, etc."
72,arbeiten,to work
73,arbeiten an,to work on
74,arbeitslos,unemployed
75,argentinien,argentina
76,ärgerlich,annoying
77,ärgern,to annoy
78,argumentieren,to argue
79,arm,poor
80,arrogant,arrogant
81,artig,well-behaved (1)
82,auch,also
83,auf,"up, on a horizontal surface"
84,auf dem land,in the country
85,auf der nase herumtanzen,"to walk all over someone, to play somebody up, to disregard or disrespect"
86,auf die messe,(go) to the trade fair
87,auf diese weise,in this way
88,auf ein jahr,for a year
89,auf einmal,suddenly (1)
90,auf ihn kannst du häuser bauen.,he's absolutely dependable.
91,auf wiederhören!,goodbye! (on the telephone)
92,auf wiedersehen.,good-bye.
93,"aufessen, aß auf, aufgegessen",to eat up
94,aufführen,to perform
95,"aufgeben, gab auf, aufgegeben",to give up (a bad habit)
96,aufgeregt,excited; wound up; flustered
97,aufhören,to stop doing something (1)
98,auflegen,to hang up (the receiver)
99,auflisten,to list
100,aufmachen,to open up (1)
101,aufpassen,to pay attention
102,aufräumen,"to clear up, to tidy up"
103,aufrunden,to round up (numerical)
104,aufs land,to the country
105,aufschauen,to look upwards
106,"aufschließen, schloss auf, aufgeschlossen",to unlock; to open up to development
107,aufsetzen,to put on (one's head)
108,"aufstehen, stand auf, aufgestanden","to stand up, to get up"
109,aufwachen,to wake up; to awake
110,"aufwachsen, wuchs auf, aufgewachsen",to grow up
111,aus,out
112,aus dem häuschen sein,to be all excited
113,ausbilden,to train (education)
114,ausdrücken,to express (1)
115,ausfüllen,to fill in (a form)
116,"ausgeben, gab aus, ausgegeben",to spend (money)
117,"ausgehen, ging aus, ausgegangen",to go out
118,ausgezeichnet,excellent
119,"aushalten, hielt aus, ausgehalten","to endure, to hold out"
120,auskommen (mit),to get on (with)
121,ausländisch,foreign
122,ausmachen,"1. to turn off, to extinguish 2. to come to, to constitute"
123,auspacken,to unpack
124,ausprobieren,to try out
125,ausrasten,to go off the deep end
126,ausrüsten,to equip
127,ausschalten,to switch off; to eliminate
128,"ausschlafen, schlief aus, ausgeschlafen",to sleep in
129,"aussehen, sah aus, ausgesehen","to look like, to appear"
130,außen,on the outside
131,außer,"except, apart from"
132,außer betrieb,out of order
133,außerdem,"besides, in addition"
134,äußern,to express (2)
135,äußerst,extremely
136,ausspannen,"to relax (intransitive), to unyoke (transitive)"
137,"aussteigen, stieg aus, ausgestiegen",to get off a vehicle
138,aussuchen,to pick out
139,austauschen,"to exchange, to replace"
140,australien,australia
141,australisch,australian (adj.)
142,ausverkaufen,to sell out
143,auswandern,to emigrate (1)
144,auswendig lernen,to memorise
145,"sich ausziehen, zog aus, ausgezogen",to get undressed
146,backen,to bake
147,baden,"to swim, to bathe"
148,bald,soon
149,bankrott,bankrupt
150,basteln,to do handicrafts
151,bauen,to build
152,baumlos,treeless
153,bayerisch,bavarian (adj.)
154,beantworten,to answer
155,bedecken,to cover
156,bedeckt,cloudy (1)
157,bedeuten,to mean
158,bedeutungslos,meaningless
159,bedienen,to serve (guests)
160,beeindrucken,to impress
161,befragen,to ask (1)
162,befriedigend,satisfactory
163,begegnen,to run into s. o. / encounter / meet by chancet
164,"begießen, begoss, begossen",to pour (something)
165,"beginnen, begann, begonnen",to begin (1)
166,begleiten,to accompany
167,"begreifen, begriff, begriffen","to grasp, to understand"
168,begrüßen,"to greet, to welcome"
169,"behalten, behielt, behalten","to keep, to maintain, to remember"
170,behandeln,"to treat, deal with; handle"
171,behindert,"handicapped, disabled"
172,bei,at
173,bei der hinfahrt,on the way there
174,bei nacht,at night (1)
175,bei uns,at our house
176,beide,both
177,beilegen,to enclose
178,"beißen, biss, gebissen",to bite
179,beizen,to stain wood
180,bekannt,well-known
181,beklagen,"to lament, to grieve"
182,"bekommen, bekam, bekommen","to get, to receive"
183,"beladen, belud, beladen",to load or to burden
184,beleuchten,to light up
185,belgien,belgium
186,belgisch,belgian (adj.)
187,beliebt,"popular, well-loved"
188,bellen,to bark
189,bemerken,to notice
190,benutzen,to use (1)
191,beobachten,"to watch, to observe"
192,bequem,"comfortable, easy"
193,bereuen,to regret
194,berichten,to report (2)
195,beruflich,professionally
196,berühmt,famous
197,beschädigen,to damage
198,beschäftigt,busy
199,beschämt,ashamed
200,bescheiden,"modest, content"
201,"beschließen, beschloss, beschlossen",to decide (1)
202,"beschreiben, beschrieb, beschrieben",to describe
203,beschuldigen,"to blame, to accuse"
204,sich beschweren,to complain (+ acc)
205,besetzen,to reserve / to occupy / to squat (occupy property)
206,besetzt,"occupied, engaged"
207,"besitzen, besaß, besessen",to own
208,besonders,"especially, particuarly"
209,"besprechen, besprach, besprochen",to discuss (1)
210,besser,better
211,besser als,better than
212,bessern,"to remedy, to improve"
213,beste,best
214,bestand haben,to endure / to be long-lasting / to have stability
215,bestätigen,"to confirm, to verify, to certify"
216,bestehen auf,to insist on something
217,bestellen,to order sth; to book; to reserve
218,bestimmt,"definitely, certain, for sure"
219,bestrafen,to punish
220,bestreuen,to sprinkle (dry - in cooking); to strew
221,besuchen,to visit
222,betonen,"to stress (linguistically), to emphasize"
223,beträufeln,to drizzle (in cooking)
224,betreuen,"to look after, to mentor, to care for"
225,"betrügen, betrog, betrogen",to deceive
226,betrunken,drunk
227,betteln (um),to beg (for)
228,bevor,before; until
229,"beweisen, bewies, bewiesen",to prove (1)
230,bewölkt,cloudy (2)
231,bewundern,to admire
232,bewusst,conscious
233,bezahlen,to pay (for)
234,bezaubernd,enchanting
235,bilden,to form (make)
236,billig,cheap
237,bis,until
238,bis dann,until then
239,bis später!,see you later!
240,bitte!,please / you're welcome
241,bitte schön!,you're welcome.
242,"blasen, blies, geblasen",to blow
243,blau,"blue, drunk, bruised"
244,"bleiben, blieb, geblieben",to stay
245,blind,blind
246,blitzartig,"like lightning, with lightning speed"
247,blockieren,to block
248,blöd,silly (1); stupid
249,blond,blonde
250,bloß,"just, mere, only"
251,bodenlos,bottomless
252,böse,"1. evil, wicked  2. angry, cross"
253,brandneu,brand new
254,brasilien,brazil
255,brauchen,to need
256,braun,brown
257,brav,well-behaved (2)
258,"brechen, brach, gebrochen",to break (into two)
259,breit,wide
260,bremsen,to brake
261,"bringen, brachte, gebracht",to bring
262,brüllen,to yell
263,brünett,brunette
264,buchen,to book
265,buchstabieren,to spell
266,bügeln,to iron
267,bunt,colourful
268,bürsten,to brush (the hair)
269,buschig,bushy
270,campen,to camp
271,chanukkah,hanukkah
272,charakterisieren,to characterise
273,chemiefrei,chemical-free
274,chile,chile
275,china,china
276,chinesisch,chinese
277,clever,clever
278,da,"1. there, then; 2. as, since"
279,da bringen mich keine zehn pferde hin.,wild horses couldn't drag me there.
280,da lachen ja die hühner!,what a joke!
281,dagegen,"against it, on the other hand"
282,damals,"back then, at that time"
283,damit,"with it, with that"
284,danach,after it / after that / accordingly
285,dänemark,denmark
286,dänisch,danish
287,danke.,thank you.
288,danken,to thank
289,danklos,thankless
290,dann,then
291,das,"that, this"
292,"das abendessen, -",the evening meal
293,"das abenteuer, -",the adventure
294,das abitur,the gymnasium final year exam (no plural)
295,"das abteil, -e",the compartment
296,"das alltagsleben, -",the everyday life
297,"das altenheim, -e",the old people's home
298,"das alter, -",the age
299,"das altpapier, -e",the waste paper (recyclable)
300,"das angebot, -e","the offer, the tender, the bid"
301,"das äquivalent, -e",the equivalent
302,"das arbeitsamt, -""er",the job centre
303,"das arbeitszimmer, -",the study (2)
304,"das argument, -e",the (reasoned) argument
305,"das armband, -""er",the bracelet
306,"das auge, -n",the eye
307,das ausland,the foreign country (no plural)
308,"das auslandsamt, -""er",the foreign students office
309,"das auto, -s",the car (automobile)
310,"das autobahnkreuz, -e",the highway/ motorway intersection
311,"das baby, -s",the baby
312,das baby-öl,the baby oil
313,das babysitten,the babysitting (no plural)
314,"das bad, -""er","the bath, the bathroom"
315,das badewetter,the swimming weather (no plural)
316,"das badezimmer, -",the bathroom
317,das bargeld,the cash (no plural)
318,"das barometer, -",the barometer
319,"das bedienungsgeld, -er",the service charge
320,"das bein, -e",the leg
321,"das bonbon, -s",the (hard) candy
322,"das beispiel, -e",the example
323,das benzin,the petrol (no plural)
324,das besteck,"the silverware, cutlery (no plural)"
325,"das betriebspraktikum, die betriebspraktika",the work experience (2)
326,"das bett, -en",the bed
327,"das bewerbungsgespräch, -e",the job interview
328,"das bier, -e",the beer
329,"das bierglas, -""er",the beer glas
330,"das bild, -er",the picture
331,das billard,the billiards (no plural)
332,"das blatt, -""er","the leaf, the sheet of paper"
333,das blei,the lead (an element) (no plural)
334,"das blumengeschäft, -e",the flower shop
335,das blut,the blood (no plural)
336,"das boot, -e",the boat
337,"das brett, -er","the board, the plank"
338,"das brot, -e","the bread, the sandwich"
339,"das brötchen, -",the (bread)roll
340,"das bruttosozialprodukt, -e (bsp)",the gross national product (gnp)
341,"das buch, -""er",the book
342,"das bücherregal, -e",the bookcase; bookshelf
343,"das büfett, -s",the buffet
344,"das bügeleisen, -",the iron (for clothes)
345,"das bündel, -",the bundle; the sheaf
346,"das bundesland, -""er",the (german) federal state
347,"das bundesministerium, die bundesministerien",the federal ministry
348,"das büro, -s",the office
349,das campen,the camping (as an activity) (no plural)
350,"das cd-rom-laufwerk, -e",the cd-rom drive
351,"das college, -s",the college
352,"das computerspiel, -e",the computer game
353,"das dach, -""er",the roof
354,"das datum, die daten",the [calendar] date
355,"das delikatessengeschäft, -e",the delicatessen
356,"der professional, -s",the professional
357,"das ding, -e",the thing (1)
358,"das diplom, -e",the diploma
359,das diplom machen,to do or take one's diploma
360,"das dokument, -e",the document
361,"das doppelhaus, -""er",the duplex / semi-detached
362,"das dorf, -""er",the village
363,"das drama, die dramen",the drama
364,"das dreivierteljahr, -e","the three-quarter year, nine months"
365,"das dutzend, -e",the dozen
366,"das dvd-laufwerk, -e",the dvd drive
367,"das ehepaar, -e",the married couple
368,"das ei, -er",the egg
369,"das einfamilienhaus, -""er","the single-family house, a 'monoplex'"
370,"das einhorn, -""er",the unicorn
371,das einkaufen,the shopping
372,"das einkaufszentrum, die einkaufszentren",the shopping centre
373,"das einkommen, -",the income
374,"das einzelkind, -er",the only child
375,das eis,"the ice, the ice cream (no plural)"
376,das eisen,the iron (metal) (no plural)
377,das eishockey,the ice hockey (no plural)
378,"das element, -e",the element
379,"der pilz, -e",the mushroom
380,"das ende, -n",the end
381,englisch,english (language)
382,"das erdgeschoss, -e",the ground floor
383,"das ergebnis, -se",the result
384,"das essen, -","the meal, food"
385,"das esszimmer, -",the dining room
386,"das etagenbett, -en",the bunk bed
387,"das etui, -s",the case (container)
388,"das exemplar, -e","the copy (of a book, etc.); the specimen"
389,"das experiment, -e",the experiment
390,"das fach, -""er",the subject (of study)
391,"das fahrgeld, -er",the fare (transport)
392,"das fahrrad, -""er",the bicycle
393,"das fahrzeug, -e",the vehicle
394,"der familienbrunch, -es",the family brunch
395,"das farbfoto, -s",the colour photo
396,"das fax, -e",the fax
397,"das feinkostgeschäft, -e",the delicatessen
398,"das feld, -er",the field
399,"das fenster, -",the window
400,"das ferienhaus, -""er",the vacation house/ holiday home
401,das fernsehen,the television (as a medium) (no plural)
402,"das fernsehprogramm, -e",the television program
403,"das fest, -e","the festival, celebration"
404,das fett,the fat (no plural)
405,"das feuer, -",the fire (1)
406,"das feuerwerk, -e",the fireworks
407,"das fieber, -",the fever
408,"das fitnesscenter, -","the fitness centre, gym, health club"
409,das fleisch,the meat (no plural)
410,"das flugzeug, -e",the airplane
411,"das formular, -e",the form (paper)
412,"das foto, -s",the photo
413,"das fotogeschäft, -e",the photo store
414,"das fotomodell, -e",the photographic model
415,"das frühjahr, -e","the spring, the early year"
416,"das frühstück, -e",the breakfast
417,"das fundbüro, -s",the lost property office
418,"das fußballspiel, -e",the football game
419,"das gasthaus, -""er","the guest house, the inn"
420,"das gebäude, -",the building
421,"das gebiet, -e","the region (1), the area"
422,"das gebirge, -",the mountain range; mountains
423,"das gedicht, -e",the poem
424,"das gefängnis, -se",the prison
425,"das gegenteil, -e",the opposite (2)
426,"das gehalt, -""er","the content, the salary; [pay (no def art or pl)]"
427,"das geld, -er",the money
428,"das gemälde, -",the painting
429,das gemüse,the vegetables (no plural)
430,das gepäck,the luggage (no plural)
431,"das gerät, -e",the device
432,"das geräusch, -e",the noise (1)
433,"das gericht, -e",the dish (food) / court (of law)
434,"das geschäft, -e","the shop, the business"
435,"das geschenk, -e",the gift
436,das geschirr,"the dishes, the dinnerware (no plural)"
437,"das geschlecht, -er",the gender
438,"das geschwister, -",the sibling
439,"das gesetz, -e",the law (1) (countable noun)
440,"das gesicht, -er",the face
441,"das gespräch, -e",the conversation
442,"das getränk, -e","the drink, the beverage"
443,das getue,"the fuss, carrying on about something (no plural)"
444,"das gewicht, -e",the weight
445,"das gewitter, -",the thunderstorm
446,"das glas, -""er",the glass
447,das glatteis,"the sheet ice, black ice, smooth black hair (no plural)"
448,"das gleis, -e","the platform, the train -rail -track, -line"
449,das glück,"the luck, the happiness (no plural)"
450,das gold,the gold (no plural)
451,das golf,the golf (no plural)
452,"das grab, -""er",the grave
453,"das gramm, -e",the gram
454,"das gras, -""er",the grass
455,"das großherzogtum, -""er",the grand duchy
456,"das grundgesetz, -e","the constitution, the basic law"
457,"das gymnasium, die gymnasien",the nine-year secondary school prior to university education
458,"das haar, -e",the hair
459,"das halloween, -s",the halloween
460,"das handtuch, -""er",the towel
461,"das handy, -s",the cell/mobile phone
462,das hängt mir zum hals heraus!,i'm totally sick of it!
463,"das hauptgericht, -e",the main course
464,"das haus, -""er",the house
465,"das haustier, -e",the pet
466,"das heft, -e",the notebook (not a computer) (2)
467,das heißt (d.h.),that is (i.e.)
468,"das hemd, -en",the shirt
469,"das herz, -en",the heart
470,"das hobby, -s",the hobby
471,"das hochhaus, -""er",the high-rise
472,das holz,the wood (no plural)
473,"das hotdog, -s",the hot dog
474,"das hotel, -s",the hotel
475,"das huhn, -""er",the hen (egg laying)
476,das hundefutter,the dog food (no plural)
477,"das hundewetter, -",the rotten weather (1)
478,das informationszeitalter,the information age (no plural)
479,"das insekt, -en",the insect
480,"das instrument, -e",the instrument
481,"das internat, -e",the boarding school
482,das internet,the internet (no plural)
483,"das interview, -s",the interview
484,das ist alles käse.,that's all baloney.
485,das ist echt toll.,that is really fantastic.
486,das ist mir egal.,it's all the same to me.
487,das ist mir wurst.,i couldn't care less.
488,das ist nicht mein bier!,it's none of my business.
489,"das jahr, -e",the year
490,"das jahrhundert, -e",the century
491,"das jahrzehnt, -e",the decade
492,"das junkfood, -s",the junk food
493,"das kabel, -","the cable, wire, rope"
494,"das kalb, -""er",the calf (animal)
495,"das kamel, -e",the camel
496,"das känguru, -s",the kangaroo
497,"das kaninchen, -",the rabbit
498,"das kännchen, -",the little (tea) pot
499,"das kassler rippchen, -",the smoked pork rib/chop
500,"das kaufhaus, -""er",the department store
501,"das kennzeichen, -","the license/number plate, the [distinguishing] mark, the insignia"
502,"das keyboard, -s",the keyboard (music)
503,"das kind, -er",the child
504,"das kinn, -e",the chin
505,"das kino, -s",the cinema
506,"das kissen, -","the pillow, the cushion"
507,"das klassenzimmer, -",the classroom
508,"das klavier, -e",the piano
509,"das klavierkonzert, -e",the piano concerto or recital
510,"das kleid, -er",the dress (generally women's); clothing/clothes
511,"das kleidergeschäft, -e",the dress shop
512,"das kleidungsstück, -e",the article of clothing
513,"das kleingeld, -er",the (small) change [money]
514,"das klima, -s",the climate
515,"das klischee, -s",the cliché
516,"das klo, -s",the loo
517,"das knäckebrot, -e",the crispbread
518,"das knie, -",the knee
